[2025-02-15T08:13:05.851+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-15T08:13:05.877+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-01T00:00:00+00:00 [queued]>
[2025-02-15T08:13:05.897+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: play_with_airflow_connections_and_hooks.get_data scheduled__2025-02-01T00:00:00+00:00 [queued]>
[2025-02-15T08:13:05.899+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-15T08:13:05.946+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): get_data> on 2025-02-01 00:00:00+00:00
[2025-02-15T08:13:06.329+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'play_with_***_connections_and_hooks', 'get_data', 'scheduled__2025-02-01T00:00:00+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/play_with_***_connections_and_hooks.py', '--cfg-path', '/tmp/tmp0l8xzpj4']
[2025-02-15T08:13:06.385+0000] {standard_task_runner.py:105} INFO - Job 20: Subtask get_data
[2025-02-15T08:13:06.443+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=193) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-02-15T08:13:06.492+0000] {standard_task_runner.py:72} INFO - Started process 292 to run task
[2025-02-15T08:13:10.542+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_partitioned_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.542+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_range', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.565+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_transform', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.578+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_sequence', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.584+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_publication', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.591+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_publication_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.600+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_subscription_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.602+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_group', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2025-02-15T08:13:10.610+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_user', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.614+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_policies', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.616+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.622+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_views', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.623+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.635+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_matviews', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.695+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.711+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.717+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stats', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.718+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stats_ext', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.737+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_publication_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.762+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_locks', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.770+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_cursors', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.781+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_available_extensions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.783+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_available_extension_versions', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.787+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_prepared_xacts', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.801+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_seclabels', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.805+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_statio_user_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.812+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_stat_all_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2025-02-15T08:13:10.819+0000] {logging_mixin.py:190} INFO - ('***', 'pg_catalog', 'pg_timezone_abbrevs', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
